Category: All categories,,,
,,,
Week,Milkshake: (United States),Hamburger: (United States),Breakup: (United States)
1/28/2024,23,66,12
2/4/2024,25,68,21
2/11/2024,22,63,16
2/18/2024,24,70,29
2/25/2024,25,66,24
3/3/2024,24,67,16
3/10/2024,26,67,24
3/17/2024,25,63,18
3/24/2024,23,69,16
3/31/2024,21,64,14
4/7/2024,20,64,14
4/14/2024,23,67,19
4/21/2024,20,68,15
4/28/2024,21,67,13
5/5/2024,21,68,13
5/12/2024,21,67,13
5/19/2024,21,75,13
5/26/2024,22,100,13
6/2/2024,23,72,14
6/9/2024,23,71,17
6/16/2024,21,73,25
6/23/2024,23,71,12
6/30/2024,23,99,13
7/7/2024,23,72,14
7/14/2024,23,68,13
7/21/2024,22,69,14
7/28/2024,22,69,13
8/4/2024,22,67,10
8/11/2024,23,66,10
8/18/2024,21,69,11
8/25/2024,21,69,10
9/1/2024,20,67,17
9/8/2024,18,62,11
9/15/2024,19,76,12
9/22/2024,20,61,12
9/29/2024,19,59,13
10/6/2024,20,60,12
10/13/2024,19,63,13
10/20/2024,19,62,14
10/27/2024,18,62,12
11/3/2024,17,51,12
11/10/2024,21,56,13
11/17/2024,20,57,13
11/24/2024,18,49,12
12/1/2024,18,52,13
12/8/2024,18,54,13
12/15/2024,17,55,12
12/22/2024,17,57,12
12/29/2024,22,65,17
1/5/2025,24,62,13
1/12/2025,24,65,13
1/19/2025,23,65,13
1/26/2025,23,62,13
2/2/2025,27,64,14
2/9/2025,23,64,18
2/16/2025,26,71,15
2/23/2025,27,68,13
